sepal_length,sepal_width,petal_length,petal_width,species_pred,probability
5.5,2.5,4.0,1.3,versicolor,0.9692253374825414
6.9,3.1,5.1,2.3,virginica,0.965957601039732
5.1,2.5,3.0,1.1,versicolor,0.9515826048444782
4.4,2.9,,0.2,setosa,0.48179850169454036
5.9,3.0,5.1,1.8,virginica,0.7606510538232852
5.5,3.5,1.3,0.2,setosa,0.9589623822493035
5.6,,3.6,1.3,versicolor,0.9517494344030566
6.5,3.0,5.2,2.0,virginica,0.948125370915786
5.3,3.7,1.5,0.2,setosa,0.9657488016078495
5.1,3.4,1.5,,setosa,0.7657682041712722
6.1,2.8,4.0,1.3,versicolor,0.9793262523080861
5.5,2.4,3.7,1.0,versicolor,0.9793799978446319
7.7,3.0,6.1,2.3,virginica,0.9606647116678525
6.9,3.1,4.9,1.5,versicolor,0.759959588395342
6.0,2.2,5.0,1.5,versicolor,0.6040562690798055
